Family,Genus,species,haploid,SCS
Scarabaeidae,Dynastes,Dynastes_hercules,9,NeoXY
Scarabaeidae,Dynastes,Dynastes_tityus,9,NeoXY
Scarabaeidae,Dyscinetus,Dyscinetus_bidentatus,10,XY
Scarabaeidae,Dyscinetus,Dyscinetus_gagates,10,XY
Scarabaeidae,Dyscinetus,Dyscinetus_picipes,10,XY
Scarabaeidae,Dyscinetus,Dyscinetus_rugifrons,10,XY
Scarabaeidae,Ectinohoplia,Ectinohoplia_rufipes,10,XY
Scarabaeidae,Enema,Enema_pan,9,XY
Scarabaeidae,Eophileurus,Eophileurus_platypterus,10,XY
Scarabaeidae,Epicometis,Epicometis_hirta,10,XY
Scarabaeidae,Epicometis,Epicometis_squalida,10,XY
Scarabaeidae,Eucranium,Eucranium_arachnoides,9,XY
Scarabaeidae,Eudicella,Eudicella_aethiopica,10,XY
Scarabaeidae,Eudicella,Eudicella_gralli,10,XY
Scarabaeidae,Eudicella,Eudicella_smithi,10,XY
Scarabaeidae,Euetheola,Euetheola_humilis,10,XY
Scarabaeidae,Euonticellus,Euonticellus_pallipes,10,XY
Scarabaeidae,Euothonphagus,Euothonphagus_amyntas,10,XY
Scarabaeidae,Euothonphagus,Euothonphagus_atramentarius,10,XY
Scarabaeidae,Euphoria,Euphoria_inda,10,XY
Scarabaeidae,Euphoria,Euphoria_lurida,10,XY
Scarabaeidae,Eurysternus,Eurysternus_caribaeus,4,NeoXY
Scarabaeidae,Exomala,Exomala_hirtella,10,XY
Scarabaeidae,Geniates,Geniates_borelli,10,XY
Scarabaeidae,Geotrupes,Geotrupes_balvi,11,XY
Scarabaeidae,Geotrupes,Geotrupes_hypocrita,11,XY
Scarabaeidae,Geotrupes,Geotrupes_intermedius,11,XY
Scarabaeidae,Geotrupes,Geotrupes_mutator,10,XY
Scarabaeidae,Geotrupes,Geotrupes_spiniger,11,XY
Scarabaeidae,Geotrupes,Geotrupes_spiniger,10,XY
Scarabaeidae,Geotrupes,Geotrupes_splendidus,11,XY
Scarabaeidae,Geotrupes,Geotrupes_stercorarius,10,XY
Scarabaeidae,Glycyphana,Glycyphana_fulvistemma,10,XY
Scarabaeidae,Glyphoderus,Glyphoderus_sterquilinus,9,XY
Scarabaeidae,Gnorimus,Gnorimus_nobilis,10,XY
Scarabaeidae,Goliathus,Goliathus_goliatus,10,XY
Scarabaeidae,Gromphas,Gromphas_lacordairei,10,XY
Scarabaeidae,Gymnetis,Gymnetis_pantheri,10,XY
Scarabaeidae,Gymnopleurus,Gymnopleurus_cyaneus,10,XY
Scarabaeidae,Gymnopleurus,Gymnopleurus_geoffroyi,10,XY
Scarabaeidae,Gymnopleurus,Gymnopleurus_koenigi,10,XY
