"family","genus","sp","species","haploid"
"Bartramiaceae","Breutelia","plicata","Breutelia_plicata",6
"Sematophyllaceae","Brotherella","harveyana","Brotherella_harveyana",10
"Sematophyllaceae","Brotherella","harveyana","Brotherella_harveyana",10
"Sematophyllaceae","Brotherella","harveyana","Brotherella_harveyana",10
"Sematophyllaceae","Brotherella","yokohamae","Brotherella_yokohamae",9
"Pottiaceae","Bryoerythrophyllum","atrorubens","Bryoerythrophyllum_atrorubens",13
"Pottiaceae","Bryoerythrophyllum","atrorubens","Bryoerythrophyllum_atrorubens",13
"Pottiaceae","Bryoerythrophyllum","wallichii","Bryoerythrophyllum_wallichii",13
"Pottiaceae","Bryoerythrophyllum","wallichii","Bryoerythrophyllum_wallichii",13
"Bryoxiphiaceae","Bryoxiphium","norvegicum","Bryoxiphium_norvegicum",14
"Bryaceae","Bryum","argenteum","Bryum_argenteum",10
"Bryaceae","Bryum","argenteum","Bryum_argenteum",20
"Bryaceae","Bryum","argenteum","Bryum_argenteum",10
"Bryaceae","Bryum","argenteum","Bryum_argenteum",10
"Bryaceae","Bryum","argenteum","Bryum_argenteum",10
"Bryaceae","Bryum","argenteum","Bryum_argenteum",10
"Bryaceae","Bryum","argenteum","Bryum_argenteum",10
"Bryaceae","Bryum","atrovirens","Bryum_atrovirens",10
"Bryaceae","Bryum","atrovirens","Bryum_atrovirens",10
"Bryaceae","Bryum","auratum","Bryum_auratum",10
"Bryaceae","Bryum","auratum","Bryum_auratum",10
"Bryaceae","Bryum","billarderi","Bryum_billarderi",20
"Bryaceae","Bryum","billarderi","Bryum_billarderi",20
"Bryaceae","Bryum","billarderi","Bryum_billarderi",10
"Bryaceae","Bryum","billarderi","Bryum_billarderi",20
"Bryaceae","Bryum","billarderi","Bryum_billarderi",10
"Bryaceae","Bryum","caespiticium","Bryum_caespiticium",10
"Bryaceae","Bryum","caespiticium","Bryum_caespiticium",11
"Bryaceae","Ptychostomum","capillare","Ptychostomum_capillare",10
"Bryaceae","Ptychostomum","capillare","Ptychostomum_capillare",10
"Bryaceae","Ptychostomum","capillare","Ptychostomum_capillare",10
"Bryaceae","Ptychostomum","capillare","Ptychostomum_capillare",10
"Bryaceae","Bryum","cellulare","Bryum_cellulare",11
"Bryaceae","Bryum","cellulare","Bryum_cellulare",10
"Bryaceae","Bryum","cellulare","Bryum_cellulare",10
"Bryaceae","Bryum","coronatum","Bryum_coronatum",10
"Bryaceae","Bryum","coronatum","Bryum_coronatum",10
"Hypnaceae","Hypnum","imponens","Hypnum_imponens",11
"Hypnaceae","Hypnum","imponens","Hypnum_imponens",7
"Hypnaceae","Calliergonella","lindbergii","Calliergonella_lindbergii",10
"Hypnaceae","Calliergonella","lindbergii","Calliergonella_lindbergii",10
"Hypnaceae","Hypnum","pallescens","Hypnum_pallescens",11
"Hypnaceae","Hypnum","pallescens","Hypnum_pallescens",11
"Hypnaceae","Hypnum","plumaeforme","Hypnum_plumaeforme",10
"Polytrichaceae","Pogonatum","aloides","Pogonatum_aloides",7
